CustomerID,Platform,Plan,MonthlyFee,TenureMonths,WatchHours,SessionsPerWeek,AvgWatchTimePerSession,SupportTickets,Churn,Country,City,Gender,Age,PaymentMethod,DiscountApplied,PromoCodeUsed,AcquisitionChannel,AppRating,SubscriptionStartDate,SubscriptionEndDate,DeviceType,RefundRequested,UpsellEligible,LastLoginDate,GenresWatched,FavoriteGenre,IssueTypeMostFrequent,SatisfactionScore,BingeSessions,SubscriptionDurationDays,ChurnTimeSinceStart,TotalRevenue,Action,Drama,Comedy,Thriller,Romance,Horror,Documentary,Sci-Fi
CUST00001,Netflix,Basic,199.0,15,53.0,8,6.6,0,0,India,Hyderabad,Female,41,UPI,0,1,App Store,4.0,2019-11-24,,TV,0,0,2023-12-16,Comedy,Comedy,,7.6,1,1498,,2985.0,0,0,1,0,0,0,0,0
CUST00002,Hotstar,Super,299.0,50,37.2,4,9.3,0,0,UK,London,Female,52,Debit Card,0,0,App Store,4.1,2022-11-19,,Tablet,0,0,2023-12-16,"Action, Thriller, Romance",Thriller,,6.2,1,407,,14950.0,1,0,0,1,1,0,0,0
CUST00003,Netflix,Basic,199.0,24,13.1,3,4.4,0,0,Canada,Toronto,Male,26,Wallet,0,0,Referral,4.4,2019-02-15,,TV,0,0,2023-10-04,"Action, Comedy, Thriller",Action,,9.7,4,1780,,4776.0,1,0,1,1,0,0,0,0
CUST00004,Amazon Prime,Monthly,179.0,5,69.9,5,14.0,0,0,USA,Los Angeles,Male,49,UPI,0,0,App Store,3.8,2018-09-15,,Mobile,0,0,2023-10-04,"Action, Thriller",Thriller,,8.0,2,1933,,895.0,1,0,0,1,0,0,0,0
CUST00005,Hotstar,Mobile,149.0,39,34.8,5,7.0,0,0,India,Bangalore,Male,25,UPI,0,0,Referral,3.4,2018-11-03,,TV,0,0,2023-10-31,"Action, Comedy, Thriller",Action,,6.0,2,1884,,5811.0,1,0,1,1,0,0,0,0
CUST00006,Netflix,Basic,199.0,1,28.5,4,7.1,0,1,India,Chennai,Male,34,UPI,1,0,Ads,4.4,2019-09-10,2019-10-10,Desktop,0,0,2023-11-12,"Comedy, Horror, Documentary",Documentary,,10.0,1,30,30.0,199.0,0,0,1,0,0,1,1,0
CUST00007,Netflix,Standard,499.0,40,32.2,3,10.7,0,1,Australia,Brisbane,Male,33,Debit Card,1,0,Organic,3.8,2019-10-19,2023-02-19,Desktop,0,1,2023-10-15,"Comedy, Thriller, Romance, Documentary, Sci-Fi",Comedy,,7.4,2,1219,1219.0,19960.0,0,0,1,1,1,0,1,1
CUST00008,Netflix,Standard,499.0,25,43.5,2,21.7,0,0,India,Mumbai,Male,31,Credit Card,0,0,App Store,4.3,2018-09-20,,Mobile,0,0,2023-12-12,"Thriller, Horror",Thriller,,9.5,2,1928,,12475.0,0,0,0,1,0,1,0,0
CUST00009,Amazon Prime,Monthly,179.0,4,40.8,4,10.2,0,1,Other,Dubai,Female,58,Credit Card,1,0,Organic,4.2,2021-03-30,2021-07-30,Desktop,0,0,2023-12-28,"Action, Romance",Romance,,8.5,2,122,122.0,716.0,1,0,0,0,1,0,0,0
CUST00010,Netflix,Standard,499.0,17,49.0,8,6.1,0,0,India,Hyderabad,Male,24,Credit Card,0,0,App Store,4.7,2020-11-21,,Desktop,0,0,2023-11-17,"Horror, Documentary, Sci-Fi",Horror,,10.0,0,1135,,8483.0,0,0,0,0,0,1,1,1
CUST00011,Hotstar,Super,299.0,43,41.3,2,20.6,1,0,India,Hyderabad,Male,47,UPI,0,0,App Store,4.0,2018-07-25,,Tablet,0,0,2023-10-26,Drama,Drama,Technical,8.4,1,1985,,12857.0,0,1,0,0,0,0,0,0
CUST00012,Amazon Prime,Annual,124.92,25,14.8,6,2.5,1,0,USA,Chicago,Male,33,UPI,1,0,Ads,4.5,2022-02-03,,Desktop,0,0,2023-12-20,Sci-Fi,Sci-Fi,Billing,9.6,7,696,,3122.92,0,0,0,0,0,0,0,1
CUST00013,Amazon Prime,Monthly,179.0,33,49.6,5,9.9,0,1,UK,Birmingham,Male,30,Wallet,0,0,Referral,2.9,2023-08-17,2026-05-17,Tablet,0,1,2023-11-17,"Drama, Documentary, Sci-Fi",Drama,,6.9,3,1004,1004.0,5907.0,0,1,0,0,0,0,1,1
CUST00014,Amazon Prime,Monthly,179.0,48,32.6,3,10.9,0,1,USA,Houston,Male,30,UPI,1,0,Organic,3.8,2019-02-07,2023-02-07,Mobile,0,1,2023-12-26,"Comedy, Horror, Documentary",Documentary,,10.0,0,1461,1461.0,8592.0,0,0,1,0,0,1,1,0
CUST00015,Netflix,Basic,199.0,52,63.2,6,10.5,1,0,USA,Los Angeles,Male,40,Credit Card,0,0,App Store,4.6,2023-07-03,,Mobile,0,0,2023-11-04,"Action, Comedy, Thriller, Documentary",Action,Technical,9.7,5,181,,10348.0,1,0,1,1,0,0,1,0
CUST00016,Hotstar,Super,299.0,39,57.2,4,14.3,0,0,India,Chennai,Female,37,Wallet,1,1,Referral,4.4,2021-05-25,,Tablet,0,0,2023-10-09,"Thriller, Romance",Thriller,,10.0,1,950,,11661.0,0,0,0,1,1,0,0,0
CUST00017,Amazon Prime,Annual,124.92,57,85.5,5,17.1,0,0,USA,Chicago,Female,28,Wallet,1,0,Ads,5.0,2021-11-27,,Desktop,0,0,2023-12-01,,,,9.2,2,764,,7120.25,0,0,0,0,0,0,0,0
CUST00018,Netflix,Premium,499.0,6,13.6,8,1.7,2,0,India,Mumbai,Female,64,Credit Card,0,0,Organic,3.9,2018-02-19,,TV,0,0,2023-10-07,"Thriller, Romance, Documentary, Sci-Fi",Documentary,Billing,9.0,1,2141,,2994.0,0,0,0,1,1,0,1,1
CUST00019,Netflix,Basic,199.0,13,46.7,4,11.7,1,0,India,Delhi,Female,20,UPI,0,1,App Store,4.7,2021-03-25,,Mobile,0,0,2023-10-20,"Drama, Thriller, Romance, Documentary",Thriller,Technical,9.6,1,1011,,2587.0,0,1,0,1,1,0,1,0
